coordinate: [1.5606791  2.75518491 0.52501314], label: 0, color: g, marker: +
coordinate: [-2.40467588  0.167825   -0.17527713], label: 2, color: b, marker: +
coordinate: [ 4.53883521 -1.20458213 -0.02251896], label: 3, color: y, marker: _
coordinate: [2.29534818 6.30410551 0.58447832], label: 0, color: g, marker: _
coordinate: [-1.32056679 -0.11318802  0.29447028], label: 2, color: b, marker: +
coordinate: [ 0.29689652 -1.09139505 -0.91646717], label: 0, color: g, marker: +
coordinate: [-1.57572234 -0.11195028  0.6368647 ], label: 2, color: b, marker: +
coordinate: [-1.37476367 -0.9021045  -0.18529325], label: 2, color: b, marker: +
coordinate: [ 6.3236318   0.28041734 -0.06511809], label: 3, color: y, marker: _
coordinate: [ 1.0188477   0.79507389 -0.19861541], label: 0, color: g, marker: _
coordinate: [-3.21073294 -0.18654099  1.7240577 ], label: 2, color: b, marker: +
coordinate: [ 2.05847558 -0.06862016 -1.38225359], label: 0, color: g, marker: _
coordinate: [ 2.04977045  3.14671142 -0.66041945], label: 0, color: g, marker: _
coordinate: [-2.39938444 -0.69963471  0.49370591], label: 2, color: b, marker: +
coordinate: [-2.39243154  0.08863927 -0.14203071], label: 2, color: b, marker: +
coordinate: [-1.54408807 -0.64154357 -0.56258096], label: 2, color: b, marker: +
coordinate: [-2.74412341 -0.29329316 -0.16422295], label: 2, color: b, marker: +
coordinate: [-1.87096833 -0.1334521  -0.18321716], label: 2, color: b, marker: +
coordinate: [ 2.08041065  1.60874354 -0.02829703], label: 0, color: g, marker: _
coordinate: [ 2.12684834  2.41572873 -0.78581541], label: 0, color: g, marker: _
coordinate: [-3.82164962 -0.66842187  0.19188268], label: 2, color: b, marker: +
coordinate: [ 4.44427679 -0.7204378  -0.94284828], label: 3, color: y, marker: _
coordinate: [-1.32154466 -1.62997635 -0.63349384], label: 2, color: b, marker: +
coordinate: [1.84002174 4.97079059 1.29524152], label: 0, color: g, marker: _
coordinate: [-2.89835878  0.54317608  1.77946173], label: 2, color: b, marker: +
coordinate: [-1.23243241 -0.57862193 -0.1844853 ], label: 2, color: b, marker: +
coordinate: [ 0.11881707  0.38303486 -1.15047986], label: 0, color: g, marker: _
coordinate: [-3.55435359 -0.08674852  0.4416784 ], label: 2, color: b, marker: +
coordinate: [-1.7374762   0.36322168 -0.56171782], label: 2, color: b, marker: +
coordinate: [ 3.33855323 -1.19052779  0.86624547], label: 3, color: y, marker: _
coordinate: [ 1.37769465 -0.20167258 -0.52111348], label: 0, color: g, marker: _
coordinate: [-2.12936351 -1.65051696  0.04943588], label: 2, color: b, marker: +
coordinate: [-3.11354184  0.30952505  0.96526881], label: 2, color: b, marker: +
coordinate: [-1.09610052 -0.63421526  0.29438908], label: 2, color: b, marker: +
coordinate: [-0.81299779 -0.02149457  0.32272939], label: 2, color: b, marker: +
coordinate: [0.85527555 5.60028721 0.38290227], label: 0, color: g, marker: _
coordinate: [-3.29872841 -0.11475411  0.04351643], label: 2, color: b, marker: +
coordinate: [-1.95023632 -1.1220432  -0.69459824], label: 2, color: b, marker: +
coordinate: [ 1.23483632 -0.02746784 -0.77265179], label: 0, color: g, marker: _
coordinate: [-0.97269639  0.79999666 -0.18403761], label: 2, color: b, marker: +
coordinate: [ 1.48184918 -0.17631745 -0.50023168], label: 0, color: g, marker: _
coordinate: [-2.13220962 -1.01497439 -0.35131581], label: 2, color: b, marker: +
coordinate: [-2.69293232  0.24871856 -0.05004388], label: 2, color: b, marker: +
coordinate: [ 3.86735361 -0.91973248  0.35733132], label: 3, color: y, marker: _
